"TEAM_ABBREVIATION","START_POSITION","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
2,2,18.28,10,21,0.476,2,4,0.5,7,8,0.875,0,7,6,2,1,4,2,29,-22
2,2,20.48,13,26,0.5,3,7,0.429,1,4,0.25,0,8,6,2,1,3,1,30,14
2,2,19.32,8,18,0.444,4,7,0.571,4,6,0.667,4,2,5,1,3,2,6,24,-3
2,2,17.22,8,17,0.471,0,1,0,6,6,1,0,4,3,0,0,0,0,22,22
2,2,21.28,14,20,0.7,3,7,0.429,5,7,0.714,4,4,3,3,1,5,3,36,-7
2,2,22.55,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,0,3,4,5,30,3
2,2,20.43,5,14,0.357,1,3,0.333,12,15,0.8,0,7,8,2,0,2,3,23,4
2,2,19.2,9,20,0.45,1,4,0.25,8,9,0.889,0,7,8,2,0,5,0,27,27
2,2,20.42,6,17,0.353,2,4,0.5,11,11,1,0,8,7,2,0,1,0,25,7
2,2,8.48,7,12,0.583,1,3,0.333,4,8,0.5,0,5,9,3,0,3,1,19,25
2,2,19.73,8,17,0.471,1,3,0.333,7,9,0.778,2,6,7,2,1,2,2,24,-15
2,2,17.1,13,20,0.65,0,2,0,4,7,0.571,2,6,7,3,1,5,3,30,16
2,2,8.8,9,14,0.643,2,4,0.5,2,4,0.5,0,5,6,0,0,5,2,22,14
2,2,14.65,6,14,0.429,0,3,0,7,8,0.875,1,7,6,1,0,4,2,19,13
2,2,10.52,9,11,0.818,1,2,0.5,8,11,0.727,2,8,8,0,0,5,2,27,14
2,2,10.85,7,12,0.583,1,1,1,9,12,0.75,0,7,6,1,0,3,2,24,8
2,2,4.85,8,10,0.8,0,0,0,4,4,1,1,5,9,0,0,1,1,20,6
2,2,6.07,11,16,0.688,0,1,0,6,6,1,1,6,7,2,1,3,0,28,21
2,2,5.7,12,17,0.706,1,2,0.5,2,2,1,0,4,5,1,0,1,1,27,22
2,2,8.22,13,20,0.65,7,10,0.7,3,5,0.6,0,4,6,2,0,3,0,36,19
2,2,15.93,11,17,0.647,2,5,0.4,8,11,0.727,0,7,3,2,4,4,1,32,2
2,2,14.75,9,16,0.563,0,0,0,6,10,0.6,1,8,11,1,0,3,2,24,25
2,2,10.17,11,14,0.786,0,1,0,10,11,0.909,0,8,10,3,3,4,0,32,22
2,2,15.88,12,15,0.8,1,1,1,4,6,0.667,1,7,8,2,1,3,1,29,14
